Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Inflight Entertainment
scoot,891669,2024-03-26,3,Australia,Not Verified,"""not recommend flying Scoot"" ","My flight to Singapore was uneventful as usual except the aircraft cleanliness was bad. Upon arrival in Singapore, I found my suitcase badly dented and reported the damaged to Scoot's handling agent, SATS in Singapore. SATS will not handle the damage and directed me to to claim from Scoot Insurance Assessor online. That evening I dutifully submitted the claim with all supporting photos from SATS, boarding pass, etc. Response was prompt however unhelpful, it directed me to claim from my travel insurer which I refused. A reply from the Scoot's assessor requesting the same documents that were submitted in the online claim. Resend. Reply again requesting for same documents. Explained and objected. Reply and requesting for more photos! The whole process made my trip rather unpleasant! I decided to ignore that email. I was only claiming SGD 200 for the 2 year old damaged suitcase. I will definitely not recommend flying Scoot to friends!",Boeing 787,Solo Leisure,Economy Class,Sydney,Singapore,,February 2024,1.0,3.0,1.0,3.0,2.0,3.0,no,
scoot,891535,2024-03-24,1,Malaysia,Trip Verified,"""whole cabin is like sauna""",Using super old plane. Aircon was blowing warm air and the whole cabin is like sauna. Everyone is flipping for air using the airline safety cardboard. A disgrace to Singapore airline,,Solo Leisure,Economy Class,Singapore,Kota Kinabalu,,March 2024,1.0,3.0,2.0,3.0,,2.0,no,1.0
scoot,891527,2024-03-24,9,Singapore,Trip Verified,"""professional, helpful and friendly""","I travelled with my sister, my elderly parent and my toddler son taking Scoot from Haikou to Singapore. The journey was a pleasant one despite the episode of my child became very unwell, alternating between drowsy and cranky in the mid of the journey. We sought the crew for help. They are very professional, helpful and friendly. They checked us out first, discussed with their captain and then prep us on the travel duration and preparation on ground. Besides, they offered ice pack/wet kitchen towels along the way. Nearing to the destination, they even moved me and my son to the front row. The flight arrived 20 minutes earlier. After that, they connected me and my son with the ground crew Firliza who accompanied us to airport clinic for medical treatment.",,Family Leisure,Economy Class,Haikou,Singapore,,March 2024,4.0,5.0,4.0,5.0,,5.0,yes,
scoot,891411,2024-03-22,7,United States,Trip Verified,"""seat pitch is generous and comfortable""","Was assigned last two row at seat 39F with their new A321NEO aircraft. The seat pitch is generous and comfortable. Delayed one hour due to late arriving aircraft from SIN. The flight was full. I just realized after the FA perform the safety demonstration, because we have a long taxi to runway 33 KUL, duo FA nonstop chatting loud at back galley. Their inflight portal scoothub also can’t connect.",A321 NEO,Solo Leisure,Economy Class,Kuala Lumpur,Singapore,,March 2024,5.0,3.0,,2.0,2.0,5.0,yes,
scoot,891340,2024-03-21,4,Australia,Trip Verified,"""Very rude male flight attendant""","Very rude male flight attendant. Accessed the rear toilet onboard after being ushered in by a female fight attendant. Upon starting to use the toilet (after about 15 seconds) there was a very load banging on the door. As I started to stop proceedings and get presentable the banging noise increased and so I rushed to get out asap. As I opened the door the male flight attendant yelled ""get out"" and pushed past me to look in the toilet. I mentioned to him that he was quite rude and went back to my seat near the middle of the aircraft. My wife asked me what happened as she heard the banging from her seat. I understand that at times passengers may be required to return to their seats or leave a toilet for some other reason but to start banging loudly on the door for half of the passengers onboard to hear with no other communication and then yell at a passenger for no apparent reason is totally unacceptable. Extremely poor passenger consideration.",A321,Family Leisure,Economy Class,Singapore,Davao,,March 2024,3.0,1.0,,4.0,,4.0,no,
scoot,890800,2024-03-15,1,Australia,Trip Verified,“A disgrace to Singapore”,"Upon check-in to Phuket airport, I could see the flight had been delayed. When I advised ground staff that this would mean I would most likely miss my connecting flight in Singapore (dep 1am) through to Melbourne which would cause onward delays (including an unplanned overnight stay), and could they assist by allowing me to move to the front of the plane, or communicate with Singapore ground staff, they advised nothing could be done and that I could sort it at Singapore Changi airport. As it was, the plane was further delayed and the connecting flight was well and truly missed. As I was seated at the very back of the plane, & I could not exit from the rear, I was last off the plane, which meant I was at the back of a very long line which took 2 hours (1am - 3am Singapore time) for me to arrive at the counter in Singapore. I was told I would be on a flight at 11am to MEL. I explained that the arrival time into MEL 2130 meant that I could not get my connections across Victoria into South Australia where I live, and rather than use a hotel for the time in SIN, could I have one for late arrival into MEL. I was told there was nothing to be done and to keep all receipts and send to Scoot. As it turns out, 2 weeks after returning, 9 emails, and 4 phone calls later, Scoot said that because the flight is under 2 hours delayed, they do not cover it. This is untrue as the flight was delayed more than that. The point being that I missed my connection, leaving me arriving solo, late at night into a city I do not live in. I have flown with Singapore Airlines many times and cannot fault them. Scoot is an entirely horrible experience from start to finish and I will never recommend or fly with them again, and I will be very vocal about how poor the experience was. No communication from ground staff ever - flights out and in were all delayed and staff looked unhappy, and I would imagine are also poorly treated by also receiving no communication from above, and poor conditions. A disgrace to Singapore.",,Solo Leisure,Economy Class,Phuket,Melbourne,Singapore,February 2024,1.0,1.0,1.0,1.0,,1.0,no,
scoot,889840,2024-03-02,1,Singapore,Trip Verified,"""rushed over and made our flight""","We had a thoroughly unpleasant experience checking in for a Scoot flight at Singapore Changi Airport. We had already checked in online, and arrived at the airport to collect physical boarding passes and drop-off luggage. When we arrived, we were unable to print the boarding passes at the automated stations and approached several counter staff for help. Instead of assisting us, we were repeatedly told to ""just queue"". However, when we reached the front of the queue, we were told that check in for our flight had closed and refused to let us board. They referred us to another counter, where we were blamed for not approaching them earlier and were again refused boarding. We finally escalated the issue to a manager, who realised that we had already checked in online and needed to get to the gate quickly for boarding. We rushed over and made our flight. Although we made our flight, our Scoot experience was a complete nightmare. The counter staff were unhelpful, unpleasant and in desperate need of proper training.",,Business,Economy Class,Singapore,Nanjing,,February 2024,1.0,3.0,2.0,1.0,,1.0,no,
scoot,889453,2024-02-26,1,Thailand,Trip Verified,"""Horrible customer service""","Horrible customer service. Flight was rescheduled and delayed by two hours which missed our connecting flight. Told by sms at 9am for a rescheduled departure at 5pm. One hour on WhatsApp chat trying to rearrange the connecting flight (booked in the same ticket). Continuously got the same Message, contact ground staff when arriving in Singapore in the evening. No care, just we will do better in the future. The problem was today and not helping when talking about the future! What customer service is this?",,Family Leisure,Economy Class,Bali,Phuket,Singapore,February 2024,1.0,2.0,,5.0,,3.0,no,
scoot,888790,2024-02-18,2,United States,Trip Verified,“Horribly expensive”,"Horribly expensive with an awful experience. You wind up paying more than other airlines because the baggage price is astronomical. Additionally, you get to watch people get served hot meals while you receive nothing. It really makes you feel like a second-class citizen. And of course, no wifi.",,Solo Leisure,Economy Class,Cebu,Singapore,,February 2024,2.0,1.0,1.0,2.0,1.0,1.0,no,1.0
scoot,888755,2024-02-17,3,Australia,Not Verified,"""unfriendly and unhelpful""","I am blown away by how unfriendly and unhelpful Scoot is. This is customer service at its absolute worst. Cheap, efficient and inflexible. My wife and I bought tickets from Sydney to Yogyakarta. I knew I might need to change my flight for work, but that my wife wouldn't. I explained that to the online agent, who told me to pay extra and get a flexible ticket but because booking together I would have to pay for flexible ticket for both of us, so I did that. On the day of my flight I discovered that I would indeed need to extend my stay I. Singapore, so got to the airport early and asked the staff to flex my ticket. They said they couldnt do it in Sydney, but I could do it in Singapore no problems. We landed in Singapore and the service desk said they could only change the ticket for one month and at a high fee, and that I should ring the 24/7 call centre. I rang the call centre and they had a recorded message saying they were too busy and to use the online chat. I spent an hour on the online chat, only to be told I couldn't change it online because I had already flown the first leg, even though that is what their staff told me to do! So I got up and went back to the airport with my wife to check her in, and make the one month change, only to be told by the morning staff that that was impossible and that the maximum I could change my ticket by was one week. The entire time, at every single stage of interaction the staff were grumpy, rude and every person tried to fob me off to someone else. This was also true of the staff on the plane. I have never experienced an airline that is so consistently mean spirited and where the staff are grumpy.  Unfriendly, focused on being cheap and efficient at the cost of any sense of hospitality.",,Couple Leisure,Economy Class,Sydney,Yogyakarta,Singapore,February 2024,3.0,2.0,3.0,1.0,1.0,2.0,no,
