Year,Cleaned_Review,is_negative_sentiment
2016,"Gold Coast to Bangkok via Singapore with Scoot. In March 2016 I booked a return fare to Bangkok for myself and my wife for a Scoot flight in October 2016. I received an email from Scoot around September changing the return date from 30/10/16 to 1/11/16. Unfortunately as a result I was unable to take the booking. The email from Scoot advised that they would refund the return trip cost. I have called them twice for the refund, each time taking at least 15-20 minutes to get through to their Philippine call centre. But still no refund. I am a frequent flyer member with Singapore Airlines and have flown with them often, found them so efficient. How can you associate themselves with Scoot, It brings them down.",1
2016,"My Scoot flight from Melbourne to Singapore was originally supposed to fly around 12pm but the night before our flight the airline e-mailed me that my flight has been rescheduled to depart around 9pm and land at 1am, but our flight landed around 2am. We have been waiting nearly for an hour to check in as the queue was extremely long. The aircraft was clean, nice legroom and a comfortable seat. Good Wi-fi connectivity, nice merchandisers and adequate staff service. Poor F&B because they gave us the wrong order and we were not allowed to choose our drinks so they gave us coke. As we touched down in Singapore, I went to the conveyor belt and found that the wheel of my Rimowa broke. We immediately went to the lost and found and the staff said that it's Scoot's policy that they are not responsible for any damage. Overall the service is good but the time management and the handling is poor.",0
2016,"Flew back from Amritsar to Singapore on 19th September. Scoot system was down at the airport and they said they had no proof to verify if we had prebooked luggage. We have stopped printing our tickets and our phone was dead. Check In staff then said to pay for the 30 kilos as excess luggage and claim refund in Singapore which did not make sense. As system was down, we waited 2 hours in the line while they manually wrote boarding passes. When we finally boarded, my sister felt sick and wanted to use to toilet. The staff said she was not allowed to as they were doing a physical headcount. I then asked them if I could purchase water for my sister and they said they will not begin selling till the plane took off.  I wrote to Scoot and all I got was the usual ""Apologise for the inconvenience caused"" answer with no reason why passengers were treated so inhumanely.",1
2016,"$500 round trip from Tokyo to Taipei for a family of four, was a steal and at the same time, too good to be true, we found out the hard way. Service on the plane was decent, attendants treated us with good manners and respect, responded to requests promptly, and was generally very accommodating to the passengers. Plane delayed for 8 hrs at Narita, since Scoot didn't have arrangements with other airlines and we didn't receive the notification email before arriving, we had to sit at the check-in area for 4 hours before being allowed to go through security where we spent an additional 5 hours. Flight was scheduled for 7pm departure but by 6:45pm, the plane was nowhere to be seen, they change the departure time at 7pm, very poorly communicated. Meal vouchers were provided, which was a slight plus. Because Scoot uses one plane to fly through 4 different routes (Brisbane to Tokyo to Taipei to Singapore), delays at any of the locations would cause delays to all rest. On top of that, with the tight turnaround schedule, they had no time to clean the planes. The bathrooms were disgusting. The plane seats were dirty,  not exactly the new plane they had advertised. Greediness also comes to mind looking at how much they charged for water/drinks along with their policy of no food on-board. Carry-on luggage policy is what I had serious issues with. We carried on the same amount of luggage arriving to Taiwan as we did departing but we were told we needed to keep the carry-on weight at 10kg and below for each. Why wasn't this policy enforced from Tokyo to Taipei? Instead of taking everything out of our carry-on, we decided to check our luggage instead but then had to pay $20 per kg after 20kg, so additional $200 was paid for carry-on. To make it more infuriating, the overhead bins were empty on the plane, which means, they forced most passengers to check their carry-on. Seating, coming back from Taiwan, for our family of 4, 2 adults two kids 3 and 5, they decided to separate us and had us in different rows on different sides of the plane. Had the plane been completely booked, we would've been fine with it but there were at least 30+ seats available next to each other by the time we departed. Mind-boggling to us and we just didn't understand why we were placed in different sections of the plane by the check-in agents.",1
2016,"Overall excellent service from Scoot, however disappointment arose due to the late arrival of the aircraft outbound from Singapore, causing a knock on effect for the inbound/return flight from Sydney. However the crew managed the delay very efficiently and well. Cabin attendants were friendly, highly attentive and warm, with a Singapore Airlines-esque manner/aporoach in their service, procedure and announcements. Seats were uncomfortable with the lowest version of economy class, lacking headrests. Inflight meals were tasty, healthy and fresh but not so filling for an 8 hour flight. Inflight entertainment choices were very limited and not worth its price value.",0
2016,"Taipei to Singapore with Scoot. I paid extra for 50% more leg room with my wife, but was allocated 2 seats (6J/K) with faulty meal trays. Mine was labeled with a sticker that sealed the cover of the tray, while my wife's seat had a slanting tray. I alerted the stewardess about the problem before the plane took off, but no action was taken. When the meals were served, the stewardess didn't know what to do. After a few mins, she came back and asked me to have my meal at the biz class seat while my wife was unattended. She was holding on to the food all the time until I finished eating. She was then asked to go over to biz class to have her meal. My wife was very furious with such arrangement and refused to eat and requested for a refund for the service paid but not delivered. 2 more stewardess came and said there is no refund policy. This is the worse experience I have with any airline. If the seats are faulty, Scoot should not charge extra for the 2 seats. My journey was ruined by the poor service.",1
2016,"Singapore to Taipei. My First trip on Scoot. Changed boarding gate at the last minute. Late departure (1.55am instead of 12.45am) Flight delayed (landed at 6.10am instead of 5.40am - usual landing not later than 5.15am). Took more than 20 minutes to exit from the aircraft (Row 43) due to the delay, I missed my 8.00am train from Taipei Main Station to Hualien.",0
2016,"Singapore to Perth and impressed. The flight was delayed a little but left not too far behind time and was only 20 minutes late into Perth. The seat in Scootbiz (4A/C) was equal to Qantas domestic business class less the seatback video which Qantas  has on most services. We had a drink and meal included in the price and the service wasn't that far off a legacy carrier. For the just under five hours run down to Perth, Scootbiz, at a third of the price of Qantas, wasn't too far off the pace. Service was very good from a hard working crew and while it wasn't what we'd experienced in Business with Qatar Airways on the four previous legs, it was a fraction of the price. Very professional service for the price.",0
2016,"Sydney to Hong Kong via Singapore. Fantastic experience on both routes - a very good welcome, cabin crew happy and very attentive to requests. Food was better than my husband and I have experienced on other airlines of equal standard in Economy. The seats were very comfortable and yes, there were no shutters on the windows, but a button under each window which has a way to darken the window itself. We had a brilliant experience and to our way of thinking, anyone who gives the airline a thumbs down, must be very hard to please.",0
2016,"Terrible check-in experience at the Melbourne Airport, don't expect a smooth process even if you are in business class. Our check-in bags came to 31.5kg, just 1.5kg over the allocated 30kg that came with the ScootBiz ticket. The airline ground check-in staff would not allow us 1-2 kg over for check-in baggage, even when we were on business class. The check-in staff were more interested in getting extra $$$ for the excess 2 kg with lots of fuss, hassles, toing and froing, they even forgot to ask basic security questions about the baggage content as you would expect check-in staff from other airlines to do. Also they don't have priority baggage tags for business class passengers like other airlines such as AirAsia. So much for paying the extra money for ScootBiz ticket, the check-in experience certainly did not feel business class. The airline's draconian strict baggage policy and the inexperienced check-in ground staff made the trip really unpleasant. Would not book with them again.",1
2016,"Flew from Melbourne to Singapore return with Scoot. Plane and flight were great, food is ok. Big disappointment is both my outbound and inbound flights got delayed by an hour due to operational requirements, whatever this means. It sounds like a paper work issue, which is disappointing as I assume this is in the airlines power and not caused by 3rd party or delayed inbound flight. Return was a 1.20am flight and there was no announcement of the delays till the flight was an 2 hours after boarding was meant to start. We were stuck in Singapore gate with 47 degree ""cold"" water to drink and no seats with 2 young kids, I would have happily stayed in the lounge I paid for.",0
2016,Perth to Singapore. Check in was swift. We had a slight delay due to no fault of Scoot but the incident was actioned quickly by the airport staff and we started boarding 30mins after the departing time. I was in the Scoot Silence zone and it was pleasant without much noise; you will still hear some from the other section. Having a headrest definitely helped. Cabin was clean and I did not have to interact with the crew really but they seemed nice. This is my 3rd flight with them this year and I will continue to use them.,0
2016,"Perth to Singapore, and upgraded to Scootbiz. Overall another great experience with Scoot. Love the priority boarding, friendly crew and the roomy seats. Only issue with these seats is that they are good if you are over 185 cm the head rest digs into your neck, the seats on the old Boeing 777 were actually more comfortable. You either have to sit lower in your seat, not comfortable or just having to cope with the head rest digging in. Flight on time, took off on time, as for entertainment take your own table and have your own movies. Food is ok and I think the whole experience is good value for money.",0
2016,"Gold Coast to Singapore. First time on Scoot and probably will not be the last. Booking via web site there is a small charge to pay by credit card but check all your details and add extras prior to travel as it could cost you a lot more on the day. I did receive an email 4 weeks from departure cancelling our flight and changing to 1 day later, after several attempts in contacting Scoot we changed to 3 days earlier (no charge but then had to outlay additional hotel costs in Singapore). The flight departed on time, Boeing 787, bright interior due to large windows, seat comfort Ok for the 7-8 hour flight, reclining seat with enough leg room, behind the seat pocket adequate. FA's were friendly, attentive and spoke good English. The aircraft is under 2 years old but the aisle carpet is very worn giving a cheap feel. Food and beverage selection ok - we only selected hot drink and  peanuts you could pay in AUS$. You board / leave via the runway using the stairs (no airbridge ) and bus, so be mindful if carrying bags and trying to hold on the rail - a lady in front missed the last step and went crashing into the bus - luckily no injury sustained. Overall this is a LCC and as such you pay for the quality and service - if you realise this prior to booking you should enjoy a cheaper way to travel.",0
2016,"Worst booking experience I have had. I originally booked a flight leaving Singapore to Bangkok at 17:45, a few weeks later I received a notification saying that the flight schedule will be changed and that my flight will now leave at 22:00. With the new flight times due to security ( according to one the unhelpful phone customer service representative), it will be impossible to make my flight connection onto Rome. I have contacted the airline several times but all they are willing to do is to waive the change fee and put me on a Tigerair flight paying the fare difference which funnily enough is way more expensive that if you were booking a completely new flight. Overall I feel angry, frustrated and robbed. Shame on you Scoot.",1
2016,"Singapore to Melbourne. The price was great, the aircraft new and the service efficient. Thats about as good as it gets. At 196cm tall the seat doesn't really fit me,  and the seat has a design flaw where the light and call assistance button is on the arm rest. Everyone hits it constantly.  Price of food was bearable but the choices weren't really tempting. I chose the most western item and it was passable but I have had better meals on Jetstar and AirAsia. I think they need to look at the Jetstar 787 and they can make some improvements. Wifi internet workable but a bit pricey.",0
2016,"I was travelling from Perth to Singapore with my 82 yr old mum who has problems walking. I was impressed by the service standards of a budget airline. I requested for a wheelchair when we checked in and was referred to the Service desk. The wheelchair was there in just a short while. We were escorted all the way through immigration, customs etc. My mum was finally wheeled to the aircraft for boarding and we were seated at Row 1. What impressed me most was to find that the wheelchair was waiting when we landed at Singapore. I also wish to extend a bouquet to the service staff who were attentive and really polite! Kudos to Scoot.",0
2016,"Singapore to Sydney with Scoot. Flight delayed by 6 hours. No notification from Scoot. Given a $10 food voucher as compensation, not even entry to the lounge as a business class passenger. No ground staff from Scoot itself in Singapore airport. Offered to be put in economy on flight to Melbourne and then no compensation for finding my way to Sydney. The incoming flight was supposed to leave Qingdao at 3.10pm and arrive at Changi at 8:50pm. They had stupid amounts of time to call or email to notify us of the delay. No reason given as to why they did not email or phone to notify. Food on the way to Singapore was terrible and service is quite average. They give you your meal in the first hour so for the next 7 to 8 hours you have to pay for everything else. Beware.",1
2016,"Brilliant daytime flight out of Gold Coast to Singapore with Scoot. We paid so little for this flight and he aircraft was new, the staff were lovely, and the food was good. Probably would not like to sleep in the seats but daytime is just great. This airline is such value for money with new aircraft and great routes.",0
2016,"Scoot is an excellent medium/long haul budget airline. I took ScootBiz from Sydney to Singapore and didn't expect a budget airline to be so comfortable. It had sufficient legroom, comfortable seats, and adjustable headrests. Although there were no entertainment screens, the ScootTV streamed to my computer was good.",0
2016,"Flew Scoot from Don Muang to Singapore. Didn't expect to be seated in a seat with so much leg room, beside the escape exit door. I thought you would pay a premium for this, but I was allocated this seat and didn't pay a cent for such a comfort. Now I know why people pay more. Being able to stretch your legs is really a luxury. Flight was good, even though there was turbulence. Lighting onboard was fantastic. Crew didn't push, hard sell food and other pay-per-use services. Paid for wi-fi and onboard charging of mobile devices. Scoot just won itself a new (repeat) customer.",0
2016,"Singapore to Taipei with Scoot on the SIN-TPE-NRT route. The legroom was not bad for a someone 5'5 and the recline was nice. Aircraft was spacious. Announcements were made in English, Chinese and Japanese. The flight was better the expected. I will fly again.",0
2016,"Perth to Singapore with Scoot. The plane looks very new and clean. I believe the mood lighting does help a bit. Cabin crew were friendly and ground crew were efficient and friendly as well. The flight left on time and got into Singapore early. I have taken Scoot a few times and each time it did not disappoint. In my opinion, they have the best flight time leaving Perth to get to Singapore on each day.",0
2016,Forget Scoot. They cancelled the flight three weeks before and have not refunded even after 6 mails and 3 months waiting for them paying the money back. I had to pay 100 Euro more and had some stress for searching and booking via another airline and they even do not pay me the money for the original ticket of their cancelled flight. You cannot trust them.,1
