Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity,Aircraft
cebu-pacific,891273,2024-03-20,1,New Zealand,Trip Verified,"""Avoid this airline""","Cebu Pacific have a new policy of doing a 'security check' as you board the plane. Basically, Cebu Pacific staff will make you tip out your water bottle at the gate, under the guise of 'security'. (This is after the aviation security have done a proper search including x-rays, and you've refilled your bottle from the filtered water in the lounge). I asked if they will be replacing the water - they said ""you can buy it on the plane"". So they're delaying everyone, invading everyone's privacy, so they can make a few pesos selling bottled water on the plane. Absolutely disgusting behaviour. Avoid this airline.",Solo Leisure,Economy Class,Manila,Sydney,,December 2023,1.0,3.0,1.0,2,no,,,,
cebu-pacific,890958,2024-03-17,1,United States,Not Verified,"""wouldn't choose this airline again"" ","The check-in line hasn't moved for 30 minutes now because they only opened one counter for Clark, whereas most of the counters for Manila are open. It's also disorganized. Our departure is at 1:15 pm, and it's already 12 pm, but we're still in line. Some Cebu Pacific personnel are just standing around, which is disappointing. They are so rude too. I wouldn't choose this airline again!",Family Leisure,Economy Class,Tokyo Narita,Clark,,March 2024,,,1.0,1,no,,,,
cebu-pacific,888721,2024-02-17,1,Hong Kong,Trip Verified,"""not be flying Cebu Pacific again"" ","I've had bad experiences with Cebu Pacific before, but none quite as bad as the latest. Our flight to Hong Kong (from Manila) was scheduled for 15.35 on Feb 17. We boarded on time, and (stupidly) I believed that everything would go as planned. After driving around the runway forever, the pilot announced there was a ""technical difficulty"" and we would be returning to the boarding gate. This resulted in a fun hour long delay during which nothing was explained. After an hour of waiting, the pilot announced we would be leaving shortly. We left Manila and I (once again, stupidly) believed that all was well. After 20 minutes of flying, the pilot announced that there were technical difficulties and that we would need to turn around and go back to Manila. Upon landing in Manila at 7pm, we were assured that a new plane was available and we could board it at 8pm. Well, we boarded at 8. It is now 9.30 and we still haven't left yet. I will not be flying with Cebu Pacific again. I strongly recommend that you don't either, unless you enjoy wasting your money and being messed around for several hours. As a fun little treat, the live agent on their website was useless and unhelpful. Did not even attempt to answer my questions in any way, shape or form. If you fly with them after reading this, good luck and godspeed.",Solo Leisure,Economy Class,Cebu,Hong Kong,Manila,February 2024,1.0,4.0,1.0,1,no,2.0,1.0,1.0,
cebu-pacific,888634,2024-02-16,1,Australia,Trip Verified,“It is not worth the money”,I will keep this short and simple: if trash could fly it would be this airline. It is not worth the money. Please don’t waste your money on them. By far the worse airline I’ve travelled with. And I’ve travelled half the world.,Solo Leisure,Economy Class,Bocaray,Cebu,,February 2024,2.0,1.0,1.0,1,no,1.0,1.0,,
cebu-pacific,888090,2024-02-09,1,Australia,Trip Verified,“intentionally changing people's booking”,"On our outbound flights Sydney - Phillipines, my partner and I travelled with one bag each (as we had booked). When checking in for our return flights we were told our booking only had 1 bag in total, despite our booking email showing two bags. The check-in agent insisted we pay 5000PHP excess baggage charge to take our return flights. On return to Australia, we have tried over ten times to resolve this issue with Cebu Pacific. Each time we were lied to, told a refund was coming but it never came. Cebu Pacific is intentionally changing people's booking so they can levy further charges. It's particularly terrible that they are doing this when travellers are overseas in the Phillipines and so are more vulnerable (no internet, not sure of local laws and customs).",Couple Leisure,Economy Class,Sydney,Puerta Princessa,,January 2024,2.0,1.0,1.0,2,no,2.0,1.0,1.0,
cebu-pacific,887506,2024-02-01,3,Slovakia,Trip Verified,"""every flight was delayed""","Horrible experience, I had 3 flights with Cebu Pacific while on vacation, but every flight was delayed by more than 3 hours, with no or very general excuse. It ruined our vacation, since we lost many hours due to delays, and also missed connecting flight with Air Asia, which caused havoc in our plans. Flight itself was okay, no issues, but the delays are so annoying.",Solo Leisure,Economy Class,Cebu,Caticlan,,February 2024,4.0,3.0,2.0,4,no,2.0,,,A320
cebu-pacific,887108,2024-01-27,2,Thailand,Trip Verified,“Disinterested crew”,"Cebu Pacific is more realistically Cebu pathetic. Disinterested crew, hard uncomfortable seats, bus gates, dirty planes. Really it was a sad airline to have to fly with and I won't do it again.",Couple Leisure,Economy Class,Manila,Caticlan,,January 2024,1.0,1.0,2.0,3,no,1.0,1.0,1.0,A320
cebu-pacific,886634,2024-01-22,1,Netherlands,Trip Verified,"""this airline is on another level""",Only fly with this airline if you want to ruin your holiday spirit or have no other choice. I'm just hoping they file for bankruptcy soon. We all most know airlines are cash grabbing companies with bad service but this airline is on another level.,Solo Leisure,Economy Class,Cebu,Boracay,,January 2024,3.0,3.0,1.0,1,no,,,,
cebu-pacific,886285,2024-01-18,1,Canada,Not Verified,"""disorganized and cancel flights"" ","This is by far the worst airline I've ever travelled with. They are horribly disorganized and cancel flights. They deliberately make everything difficult and customer service is the worst. You try their online chat and the agent disconnects and doesn't reply. Over and over. You literally can't change a flight with them, but they can cancel you with no notice.",Family Leisure,Economy Class,Bacolod,Manila,,November 2023,1.0,1.0,1.0,1,no,,1.0,1.0,
cebu-pacific,885859,2024-01-14,1,Philippines,Trip Verified,"""not having the appropriate manners""","My wife recently had heart surgery and could therefore not walk fast enough. Because being Filipina she has to queue on a different passport control line. I, therefore, arrived at the gate earlier. When making the staff aware of my wife's heart problem and her not being able to walk fast, they asked me ""why would we care?"" When turning around to sit back down after this interaction, one of your employees spoke in Tagalog to the others and all laughed. Is this the service one can expect from Cebu Pacific? What kind of airline is this? What do they write in their hiring add ""Searching for the most unqualified, most useless person available. Not liking to interact with people, and not having the appropriate manners for that matter, is mandatory""?",Couple Leisure,Economy Class,Manila,Hanoi,,December 2023,1.0,2.0,1.0,1,no,,1.0,1.0,
