Year,Cleaned_Review,is_negative_sentiment
2019,"Our trip to Athens this month certainly met our expectations. Scoot is a budget airline though you wouldn't know it from the attentive ground crew and the cabin crew we had on our flights from Perth to Athens. The best way to enjoy such a long flight (11.5 hours) is what we did by paying that bit extra and having extra leg room seat or/ exit row. It's totally worth it as there is no reclining seat in front of you and the access to get out of the seat makes the journey so much more comfortable. The only negative was the very worn carpet, unusual as it was a fairly new Boeing 787. The plane left on time in both Perth/Singapore and Athens. We will definitely travel Scoot again.",0
2019,"Singapore to Sydney. For the most part, this airline does what they say on the box. It's a budget airline so you know you'll get the bare minimum unless you pay more which is fine. I was really disappointed with the meal service, I prebooked a ""meal, drink and snack"". They gave me no choice of drink and would only give me a 350ml bottle of water which I think is really misleading.  The meal was served almost immediately after departure for an 8 hour flight and I was told I couldn't  have it later. The flight left at about 0715 and my meal was a lunch/dinner option yet they served it as breakfast anyway. Refusing to give me an option honestly made it seem like they were rushing them out ASAP to get it out of the way since they already had my money, choosing to not care about what the customer wants, and hoping the unnecessarily early meal would lead to me needing a second meal later in the flight. I fly scoot semi-regularly and will never pre-book a meal again as a result. If it's any cheaper to pre-book it's only by about $1-2, so definitely not worth being misled about the drink and then force-fed the second you get on the plane. The stinginess with drinks doesn't even go away in their business class cabin which I've flown a couple of times in the past. They say you get a complimentary alcoholic or non-alcoholic drink, but upon asking for something like a whiskey and coke, you get told that whiskey is one free complimentary drink, so if you want coke it's a second drink you have to pay for! The only other issue I encountered was with the automatic check-in, where it refused to take my bag several times despite it being well within all the relevant limits. However, even with that delay, it was much quicker than with many other airlines so I can't really complain. I can't really fault the airline otherwise, they do pretty good deals and the seats aren't too bad. There's no inflight entertainment but in this day and age, I'd rather download something on my phone. Just ensure you have plenty of power as you'll be charged if you want to use the USB charger in your seat. I wouldn't recommend Scoot for a long journey like Australia to Europe, but for flights up to around 8 hours they're fine, just don't expect much other than a seat and a safe journey.",0
2019,"Coimbatore to Singapore. Friendly Check-in staffs (the only positive) in Singapore and in Coimbatore.  Most unfriendly crew i have met. Our group had traveled with 2 children one 1 year and 10 months and the other 2 years and 25 days old. Since my daughter was over 2 years she was given a separate seat and charged fully (acceptable as she has exceeded the age of the infant) Then during the take off they wanted her to sit separately in her seat and wear a seat belt. The kid had slept sitting on her moms lap as the flight's take off time was only by 12 20 am. The air hostess took her forcefully and put her on the other seat and it was a rough time after that. Then the hostess said sorry and accepted to let her sit with the mother. The same thing happened on our way back from Singapore. The steward tried to put my daughter in the separate seat and she wouldn't sit. there was an announcement from the pilot that the flight will be taken back to the gate if the child doesn't sit in the seat. Luckily she slept for a while and we could lean her onto her seat and managed to put the seat belt over her. During landing the crew (4 of them) came stood around us and made sure they woke my daughter up, made her cry and they tried to forcefully make her sit on her seat. I lost it and asked all of them to move away and i was going to complain against all of them when we landed and did so. Other airlines even though they give a separate seat considering the age (2 years) they accept the baby to sit with the parent and give a extended seat belt. But no empathy here. They introduced Scoot as a budget airline. But it is no way cheaper compared to SilkAir. Travel with Silkair was so pleasant.  But Fly scoot such a joke. S$3 for water, S$15 for blanket etc etc. Even the cost is not an issue but the way they treated us was terrible. Sorry this will be my last ever travel with Fly scoot. Wouldn't recommend it to any one.",1
2019,"Singapore to Jakarta. There's no space to put my laptop bag on the top, because already full with cabin luggage. Stewardess also doesnt want try to find out the space. So I should put my laptop bag, my wallet bag under chair, my feet doesnt have space & not comfortable for trip 2 hours. It should be that luggage move to other space and this responsibilities cabin crew to find out.not sacrifice other passenger which pay the same price but got different service. Disappointed with their service.",1
2019,"Wuhan to Singapore. I am very disappointed that since Silkair gave up this route to Scoot, the timing of the flight is terrible and that the price is even more expansive then Silkair, considering Scoot is a budget airline. I wish they could reinstate back to Silkair or at least, use the same flight time slot. Otherwise, I am giving up flying Scoot.",1
2019,"Ok this short one hour hop from Penang to Singapore, I chose Scoot. Scoot is a low cost airline. I had the emergency row seat which offered good leg space. There is no personal entertainment system on board. Drinks and snacks are for purchase and I pre-ordered a snack pack comprising a bottle of mineral water, pop corn and chocolates for RM45. I did not have any expectations from a low cost airline so it serves its purpose by getting me to my destination at a low price.",0
2019,Cebu to Singapore. All went smoothly at check in. On entering plane I mentioned it was my friends birthday. The cabin crew could not have been more friendly or helpful. I had hoped for a quick mention but they organised a game which resulted in all passengers singing happy birthday. They were wonderful.,0
2019,"Singapore to Perth. Pay the extra $100 and fly with another airline. It's not worth the cheap fares at all! I was misinformed by their customer representative on my baggage allowance and then charged an absurd amount of $400 at the airport to check my bag all due to their misinformation! No one gets back to me when I call the hotline or send an email requesting a refund. Honestly, just save yourself the frustration and pay a little extra so you don't have to deal with the mess that is this airline.",1
2019,"Singapore to Guangzhou with Scoot. Awful airline, pre-purchased front seat, while check in and boarding, have been reallocate to very rear seat without being informed. Feedback to customer service, their standard reply was that there was an aircraft change. I am 100% sure there was no aircraft change, since boarding ticket and booking detail were the same in flight no. and plane type. Even more terrible is they only refund after you have lodged a complaint, and was just refunded a voucher!",1
2019,"Singapore to Sydney. Terrible, avoid at all costs TR2 route, the plane had issues had to exit the plane and reboard another. I'd rather poke my eyes out than fly Scoot ever again. Zero communication from crew. I'd rate this company zero out of ten, but it won't allow it so 1 star it is. Avoid at all costs.",1
