Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,Aircraft
indigo-airlines,891570,2024-03-24,2,India,Not Verified,"""irresponsible behaviour""",It was so surprising and disappointing to see delay of flight 40 mins as one of cabin crew came late and all passengers were waiting inside the aircraft. So irresponsible behaviour by Indigo.,Family Leisure,Economy Class,Lucknow,Pune,,March 2024,5.0,5.0,5.0,4.0,3,no,,,
indigo-airlines,890035,2024-03-05,1,India,Not Verified,"""menu was extremely restricted""","I travelled from Mumbai to Jammu and from Amritsar to Mumbai. My Jammu flight was by Air India and return flight was by Indigo. I had good experience with Air India, served a meal and it was complimentary. On the other hand, I was not served anything for 70 minutes by Indigo. When ultimately they served, the menu was extremely restricted and was on paid basis.",Family Leisure,Economy Class,Amritsar,Mumbai,,March 2024,3.0,1.0,,3.0,1,no,,,
indigo-airlines,889690,2024-02-29,1,United States,Trip Verified,“Their cheap fare is not worth it”,"I thought I've seen the worst but this is even worse, the worst airline experience I've ever had. No food or on board entertainment whwatsoever during the long fllights to and from my transit in New Delhi from Singapore with Istanbul as final destination. I'm fine with that but the on ground experience has been terrible. At the gate I was told to go to desk for document check and asked to show visa to my final destination which is after Istanbul and has NOTHING to do with my flight with Indigo. And worst of all I lost my checked in luggage once I arrived in Istanbul. That has never happened in all my 25 years of frequent travel. All of those reviews you've seen about lost luggage & bad customer service with Indigo are completely true. Their cheap fare is not worth it. I regretted not checking Indigo's reviews before taking this airline for the first time on this flight. Looking back I would rather just pay more than taking the bait of cheap fare from Indigo. Avoid it.",Solo Leisure,Economy Class,Singapore,Istanbul,,February 2024,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,889257,2024-02-24,1,India,Trip Verified,"""pushed me to take a refund""","They cancelled my ticket one week in advance on an international trip and when I pushed them to book me on another flight, they booked me on another flight but denied boarding to me at the airport and then pushed me to take a refund which I have still not received after 1 week. I had to book a long distance flight for 2 people from the airport which costed a lot more than my original ticket.",Couple Leisure,Economy Class,Istanbul,Mumbai,,February 2024,,,,1.0,1,no,,,
indigo-airlines,889149,2024-02-22,2,Bosnia and Herzegovina,Trip Verified,“Crew very nervous and chaotic”,"I used to love flying Indigo for domestic flights in India but this long haul codeshare flight with TK was really disappointing. It is a too big difference with Turkish Airlines. Only a one time service on a flight duration of 7,5 hours on the leg Delhi-Istanbul, which is already extremely long. The second drink was only served to half of the people and then the crew disappeared. I was only able to get a coffee by a crew call. The third round was chargeable. What a poor service. Crew very nervous and chaotic. Very very Indian English, hardly understandable. Tiny seats, not even space for arms and shoulders. No Inflight Entertainment. No, Indigo, never again on a longhaul flight. There are better options.",Solo Leisure,Economy Class,Delhi,Istanbul,,February 2024,1.0,1.0,1.0,2.0,2,no,1.0,,
indigo-airlines,888713,2024-02-17,2,Australia,Trip Verified,"""particular flight was terrible"" ","I've travelled indigo Airlines before and had a pleasant experience with them. However this one particular flight was terrible, we were flying out of Mumbai to Phuket. We entered the aircraft on the tarmac, and we entered a Mosquito infested cabin. Mumbai Airport seems to have a mosquito problem and this is a health and safety issue. During my flight I was bitten nearly a dozen times. The officials at Indigo Airlines and Mumbai Airport really need to tackle this Mosquito problem that exists at the airport. Thank you",Solo Leisure,Economy Class,Mumbai,Phuket,,February 2024,3.0,3.0,3.0,3.0,5,yes,1.0,1.0,
indigo-airlines,887524,2024-02-01,2,India,Not Verified,“One of worst flight operators”,"One of worst flight operators. They delay flight just 1-3 hours before schedule depature. Once the fight is near delayed departure time, they will delay it further. They are highly unprofessional and money minded and don't care for any customer. People also don't have options as they are the biggest domestic operators. They shamelessly make money from every thing in flight. You pay for boarding, seats, meals. I’m surprised why they have not started charging for using the lavatories.",Family Leisure,Economy Class,Hyderabad,Varanasi,,January 2024,1.0,2.0,1.0,1.0,2,no,1.0,1.0,
indigo-airlines,887056,2024-01-26,3,Greece,Not Verified,"""website and mobile app is bad""","I had the worst customer experience trying to book the ticket. Their website and mobile app is bad, their payment system is even worst. I am not sure if I face issues as a foreigner and if the system works well for the locals but I have spent several hours trying to book a ticket and when I finally made it and I saw the money were taking from my account I thought that all went well. Out of luck I noticed some days later that the booking was not finalised and the money were returned to my account. They never contacted me via email about this. The actual ground service is actually good and their personnel on air is also good but their website and digital experience is the worst you can get.",Solo Leisure,Economy Class,Delhi,Chennai,,January 2024,3.0,4.0,3.0,4.0,4,no,1.0,1.0,
indigo-airlines,886857,2024-01-24,8,India,Trip Verified,"""a good experience""",Traveling from Tiruchirapalli to Guwahati was a good experience. It all started with which the services of Ground staff Sakthipriya T (Indigo) whose politeness and overall demeanour is highly appreciable.,Family Leisure,Economy Class,Tiruchirapalli,Chennai,,January 2024,3.0,3.0,,5.0,4,yes,,,
indigo-airlines,886274,2024-01-18,10,United Kingdom,Not Verified,"""Excellent experience overall""","Excellent Customer service. The whole Refund process of 3 flights, took hours instead of days. Initially I didn't get the otp, while trying to cancel the flights via their website, but it was faster/smoother via their app. A Customer service representative kindly called me for my initial complaint about the otp. Excellent experience overall.",Solo Leisure,Economy Class,Agra,Kolkata,,January 2024,5.0,5.0,5.0,5.0,5,yes,5.0,5.0,
