Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
2024-03-26,9,Australia,Not Verified,"""perfect for what it was"" ",Jetstar gets a lot of bad press but this short trip was perfect for what it was. It was well organised from the checkin to the exit. My seat was fine although I wouldn't like to be sitting in it much more than the hour long trip. The flight left on time and arrived on time. No entertainment or free refreshments but we knew that before boarding.You get what you pay for. It was a full flight but the crew manged with minimum fuss.,A320,Couple Leisure,Economy Class,Melbourne,Sydney,,March 2024,2.0,5.0,5.0,4,yes,,,
2024-03-20,1,Australia,Not Verified,"""No offer of any support""",Pilot's seat belt got stuck before departure from Sunshine Coast to Sydney. No one to fix it. Closest Jeststar engineer located in Brisbane 3 hours away. Flight delayed for 6 hours! No offer of any support from the airline.,,Solo Leisure,Economy Class,Sunshine Coast,Sydney,,March 2024,1.0,1.0,1.0,1,no,,,
2024-03-16,1,Australia,Trip Verified,"""terrible experience with Jetstar"" ","A terrible experience with Jetstar. My Flight was cancelled 2 hours prior to departure with the email I received stating that they would cover upto $200 in accommodation and $30 In meals. I was moved to a Qantas flight leaving an hour earlier. I did not make the request to move my flight. I informed them I would not make the earlier flight as I was currently driving to the airport. The Jetstar rep stated I would now have to speak to qantas as I was now on a qantas flight. I called Qantas who changed me to a flight early the next morning. I was required to stay in Sydney and as per the email I received from Jetstar stating my expenses would be covered. The next morning I made the request with Jetstar regarding my expenses. Jetstar stated that as I didn’t make the earlier flight they had changed me onto they would not be covering my expenses. I will never be travelling with Jetstar in the future, this has been a terrible experience. I do not understand how Jetstar have stated that they will cover expenses and are now stating they will not be covered. I do not believe this complies with consumer law.",,Business,Economy Class,Sydney,Melbourne,,March 2024,,,1.0,1,no,,,
2024-03-08,1,Australia,Trip Verified,"""It is a terrible airline""","If I could give 0 stars, I would. It is a terrible airline; the only thing on their mind is how to charge you more before you fly. They charged us AUD150 for a small carryon pram without providing any invoice after ward and saying they would unload all luggage if we complained further. While you can't expect 5-star customer service from a budget airline, this is way too much to endure. The ground staffs are very rude at Adelaide Airport, giving you the worst experience before a holiday. Never ever again.",,Family Leisure,Economy Class,Adelaide,Sydney,,February 2024,1.0,1.0,1.0,1,no,,,
2024-03-07,8,Australia,Trip Verified,"""the crew was attentive""","Night flight JQ29 from Bangkok to Melbourne. It pulled away from the gate at precisely 9:25 pm, and got into Melbourne 15 minutes ahead of schedule. We like it when airlines are punctual. I'd reserved a seat for $13, 55G, having suffered 9 hours in a middle seat coming up from Melbourne. Evening snack was a Ham & Cheese toastie, not bad, nice and hot, with a hot chocolate drink, for $12, pretty much what you'd pay in a Melbourne high street cafe, or less. An hour out of Melbourne I was given a chocolate cake and a coffee, the cake was moist, again at $6 pretty good value. The cabin was quiet, the crew was attentive, coming around regularly offering glasses of water. One of those low key professional cabin crews going about their business. Arrived at about 10:10. Melbourne Airport was a shambles, they don't seem able to deal with a number of flights arriving at the same time. The queue to exit at Customs was long.",B787,Solo Leisure,Economy Class,bangkok,melbourne,,March 2024,3.0,4.0,4.0,5,yes,4.0,,
2024-03-04,1,Australia,Trip Verified,"""Their service is pretty bad""","Very terrible service. We bought a checked baggage and asked their team member if we can checked this bag in the luggage or can we take it in with us as a cabin carryon. She said you can take it with you as a carry on as it is only 10kgs total. At the gate they said you can’t take it in as you bought a checked baggage not the carry on. She charged us AUD 75 and she kept saying it is non compliant. After charging AUD 75, we still took the same bag with same weight in the carry on baggage.  Their service is pretty bad. We paid $40 before to upgrade our luggage and their team member gave us the wrong advice and we had to pay for that. They don’t take any responsibility of their behaviour towards the customer.  I knew the difference between checked baggage and carry on baggage. Your staff gave wrong advice and due to that I had to pay additional $75 which was a rip off due to your staff mistake.",,Business,Economy Class,Gold Coast,Melbourne,,March 2024,1.0,1.0,1.0,1,no,,,
2024-02-28,4,Australia,Not Verified,“Never again Jetstar”,"We returned home on Jetstar having previously flown to Vietnam via Singapore on economy. What was the difference between the two flights. Jetstar Business class allowed you to board first, just like any airline would. You got bigger seats with a lot more room, though the seats were uncomfortable. We were offered a glass of sparkling wine that tasted like petrol with added co2. At 11.30 at night, the choice of meals were potato gnocchi or a cold chicken salad, a small very sweet cake, but a nice roll and butter. We both asked for a beer and were left somewhat bemused by what can only be described as a 150ml glass of beer each. Breakfast was nothing to write home about, nice roll and butter though. All in all, we had a more relaxing flight on the out bound economy flight. The service was better and the food was a lot better, and I managed to have a beer all to myself. Never again Jetstar, Never Again.",,Business,Business Class,Ho Chi Minh,Sydney,,February 2024,1.0,2.0,2.0,1,no,1.0,4.0,4.0
2024-02-25,2,Australia,Trip Verified,"""Cabin crew totally unprofessional""","Q402 SYD-OOL was very good especially the efficient boarding and on-time take-off. However, the return flight was the stuff of nightmares. The vast majority of the passengers was travelling to Sydney for the Taylor Swift concert. Their inane, like, conversations throughout, like, the whole flight was not the fault of the airline nor their singing. But there is no excuse for playing Taylor Swift songs over the PA at a volume so loud the songs were distorted. Who knows the sensitivities of those passengers not travelling to the concert? Statistics would indicate many on board have no interest in the latest pop star and could well be travelling while dealing with grief or illness for example. Cabin crew failed to display the appropriate awareness of their passengers and were totally unprofessional.",,Couple Leisure,Economy Class,Sydney,Gold Coast,,February 2024,2.0,1.0,2.0,4,no,,,
2024-02-07,1,Australia,Not Verified,"""75 AUD for my small handbag""","I had worst experience of my life with this airline. Greedy airline, worst and rude staff. Charged me for small handbag. I even called them to confirm weight etc and still they charged me 75 AUD for my small handbag. Staff member was so rude and ill mannered. Jet star should teach the staff members about how to show manners in front of customers.",,Couple Leisure,Economy Class,Melbourne,Brisbane,,February 2024,1.0,1.0,1.0,1,no,,,
2024-01-31,8,Australia,Not Verified,"""Satisfactory flight""",Satisfactory flight from a low cost carrier. Late to board but caught up some time. There was no inflight entertainment- I would have paid for a film to while away the time. The food we ordered was ordinary and I wish I’d brought snacks on board. We had extra legroom seats . Recommend but bear in mind low cost carrier,A321 neo,Couple Leisure,Economy Class,Sydney,Rarotonga,,January 2024,4.0,5.0,5.0,5,yes,1.0,,
2024-01-14,1,Australia,Not Verified,"""Jetstar you are appalling""","My partner and I flew with Jetstar on Wednesday to Sydney from Melbourne. We were 3 mins late to the check-in time. We spoke to floating staff member and she said we will need to go to the customer service desk- she couldn't care less. We explained to the lady what happened and she said ""It's out of my control"" told us we needed to pay $80 to get on the next flight. The flight was delayed by 30 mins. Spoke to the live customer service line and tried to get a refund for the difference we paid they said there is nothing they can do and they are still abiding by their legal terms. I said your customer service is appalling! You don't even care about your customers. Jetstar you are appalling.",,Couple Leisure,Economy Class,Melbourne,Sydney,,January 2024,,,4.0,3,no,,,
2024-01-12,1,Australia,Not Verified,"""prices high for the dismal service""","My recent flight with Jetstar was a nightmare. The prices were unreasonably high for the dismal service received. From delays and lost luggage to a dirty and untidy plane with an unpleasant smell, it was an overall terrible experience. The staff displayed bad manners, and made it clear that Jetstar is an airline to avoid at all costs.",,Solo Leisure,Premium Economy,Singapore,Sydney,,November 2023,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2024-01-04,7,Australia,Trip Verified,"""a very good flight""","I was very worried as I have had a lot of bad experiences with Jetstar recently, but this was a very good flight. Easy check in, friendly staff and punctual flight. The pre purchased ham and cheese toastie was tasty too. If only more Jetstar flights were as reliable in getting passengers from A to B I would fly them more often.",A320,Solo Leisure,Economy Class,Gold Coast,Melbourne,,December 2023,3.0,4.0,4.0,3,yes,3.0,,
2023-12-27,1,Australia,Not Verified,"""cancellation was done by Jetstar""","They cancelled my flight 4 hours before departure and because of this I have to miss my connecting flight, and there was no seats available on the connecting flight for the next 4 days, so have to cancel the connecting flight, for which they can’t refund. Receive an sms from the Jetstar to apply for any reimbursement if any because of this cancellation, after doing the same, it was being rejected saying why we have to reimburse for another carrier cost. Who is responsible for my cost, the cancellation was done by Jetstar and not by the other carrier. It did not stop there, they rescheduled my flight to the following day, so I booked another flight from Singapore to India, the rescheduled flight was also delayed 2 hours, because of which I have to miss my another flight as well, at least I was able to reschedule my other flight as there was availability.",,Family Leisure,Economy Class,Darwin,Bali,,December 2023,,,,1,no,,,
