Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
lion-air,885361,2024-01-09,1,Austria,Trip Verified,"""Worst airline there is"" ","Worst airline there is. No matter where you go with them in indonesia, rules are always different. One time 15 kg, the other 20 kg, which makes you pay every time. Obviously 15 kg for a check in luggage is not enough at all. Always late, cancelled or problems with the airplane. Ridiculous company really We did take it a few times in indonesia (booked in advance) and it was horrific Nearly missed a connection flight because they are late! We took 6 flights and no 1 was on time  My knees touch the seat in front of me, not a bit, it is pressed against it, the most uncomfortable airplane. No water or anything is provided on the flight, if it is 1 2 or 3 hours, you do not even get 1 sip of water. The air hostess do absolutely nothing the entire flight, they sit around on their phones. They work 10 minutes before take off and 10 minutes after landing.",Boeing 737-900,Couple Leisure,Economy Class,Medan,Jakarta,,January 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,875634,2023-10-05,1,Indonesia,Trip Verified,"""I don't suggest taking Lion Air""","Booked a few Lion Air flights in the past and most have always been delayed ‘due to operational reasons’. After a few years of banning Lion Air for my own sanity, I tried giving it another chance especially as the price is much cheaper than other airlines. Lo and behold, it’s delayed again - initially delayed for 30 mins, informed that it’s delayed for another 30 mins, and as I typed this I’m in another 30 mins delay (no further hopefully but if there is any further, I’m not surprised). Unless you’re really tight on budget and really have all the time in the world, or perhaps you like to gamble, I don't suggest taking Lion Air.",,Family Leisure,Economy Class,Surabaya,Denpasar,,October 2023,1.0,1.0,,,1.0,,1.0,no
lion-air,875309,2023-10-03,1,Thailand,Trip Verified,"""6 out of 6 booked flights had some issue""","Every single flight in the past 2 weeks had some sort of issue. Flight #1 KUL-SUB - last moment rescheduled 2.5 hours later, departed 1hr late. Total delay 3.5hrs. Flight #2 SUB-UPG - departed 1hr late. Flight #3 UPG-AMQ cancelled. rebooked to earlier flight Flight #4 AMQ-SXK last moment rescheduled to 2 hours later - aborted landing, ok touchdown on second attempt. Flight #5 KNG-SOQ departed on schedule, aborted landing, ok touchdown on second attempt. Flight #6 SOQ-UPG cancelled, rebooked to flight next day In summary: 6 out of 6 booked flights had some issue. 1 extra overnight required in Sorong (Lion Air not providing a hotel)",,Couple Leisure,Economy Class,Kaimana,Makassar,Sorong,October 2023,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,871515,2023-09-07,9,New Zealand,Trip Verified,"""it really wasn’t too bad""","Much better than expected. After reading bad reviews I was very apprehensive. My flights - 3 in total, 1st 20 min late, 2nd 30 min late, 3rd 60 min late. I was fine with this, it really wasn’t too bad. I received my luggage fine (I did make sure v secure after reading all probs with stolen items). Thanks Lion air, you were better than the reviews.",,Solo Leisure,Economy Class,Kendari,Denpasar,Ujung Pandang,September 2023,5.0,5.0,,,5.0,,5.0,yes
lion-air,871087,2023-09-04,1,Indonesia,Not Verified,"""Flight was canceled""","Worst airline. Flight was canceled. No answer to my mail, WA or live chat after 20h. So far no new flight scheduled!!! What is wrong with lion air? No customer service number available to call. Unbelievable.",,Family Leisure,Economy Class,Lombok,Jakarta,,September 2023,,,,,1.0,,1.0,no
lion-air,869744,2023-08-26,1,Italy,Trip Verified,"""customer service is completely unfair""","Terrible experience! Flight cancelled the night before. Staff at Airport didn't want to help us, we asked for a refund. Don't fly with them the customer service is completely unfair.",ATR 72,Family Leisure,Economy Class,Balikpapan,Berau,,August 2023,1.0,1.0,,,1.0,,1.0,no
lion-air,869403,2023-08-23,6,Italy,Trip Verified,"""problems before the flight""","A lot of problems before the flight (cancellations, rescheduling, etc), but finally the flight was perfect in timing, services, assistance. After buying your ticket, check your flight info periodically on the website to avoid surprises.",,Couple Leisure,Economy Class,Denpasar,Medan,,August 2023,4.0,5.0,,,5.0,,4.0,yes
lion-air,861724,2023-07-07,1,Netherlands,Trip Verified,"""Try to avoid this company""","Horrible service, Delayed 5 hours without anybody to contact. No compensation, no foods or drinks. We just had to wait and ask for info. Staf can barely speak English and they are scrolling on their Instagram while talking to you. Try to avoid this company at all costs.",,Couple Leisure,Economy Class,Denpasar,Jakarta,,July 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,855415,2023-05-31,1,Italy,Trip Verified,"""Worst customer service ever""","Worst customer service ever! I never met such awful people, definitely not helpful. We bought the tickets online and paid for them, but when we arrived at the airport they told us we haven’t paid. When we showed them the receipt, they told us ‘we took to long from the booking of the tickets to the payment’ and that they could not do anything and just to contact the client service online. We texted them and after 1 day still no answer .. do you think we’ll get our money back?",,Couple Leisure,Economy Class,Bali,Yogyakarta,,May 2023,1.0,,,,1.0,,1.0,no
lion-air,855377,2023-05-31,1,Switzerland,Trip Verified,"""Avoid this airline""","I booked the first morning flight with lion air because I had to be in Denpasar at 10:30 to catch a connection flight. Lion air moves the flight to one hour later, this I would have missed my connection flight. They gave me 11 hours notice, with the email sent at 10pm. I finally had to reach Bali with an emergency arrangement through ferry. Avoid this airline, they are horrible.",,Solo Leisure,Economy Class,Lombok,Bali,,May 2023,,,,,,,1.0,no
lion-air,852022,2023-05-10,1,Sweden,Not Verified,"""trying to email, call and chat""","My first flight got cancelled and changed to a flight just a few hours away with a stopover of 7 hours. Been trying to email, call and chat for over 24 hours without any help. Probably the worst airline in the world.",,Solo Leisure,Economy Class,Denpasar,Bandar Lampung,Jakarta,May 2023,,,,,,,1.0,no
lion-air,847723,2023-04-16,1,Indonesia,Trip Verified,"""recommend to avoid this company""","I booked a flight from Denpasar to Jakarta on 16 April The company changed from JT31 to JT25, no big schedule difference Then they changed from JT25 to JT15, 2.5 hours later So I used their involuntary change process to book another flight ID6517 at the same time as my original flight Then they informed me that the flight was delayed by 2.5 hours They never provided any explanation They kicked me off JT25 but this flight was not canceled so I guess they gave my seat to someone else Their help desk never answered. I recommend to avoid this company and sisters companies such as Batik air.",,Solo Leisure,Economy Class,Denpasar,Jakarta,,April 2023,1.0,1.0,,,1.0,,1.0,no
lion-air,836816,2023-02-28,1,Indonesia,Trip Verified,"""if time is precious avoid this airline""","They cancelled on me providing no reason or compensation, which is expected behavior for a Lion Air. So I rescheduled, and of course that other flight also got cancelled. So if your time is precious avoid this airline. If you are looking to gamble on whether or not you will actually fly, take Lion Air.",,Solo Leisure,Economy Class,Denpasar,Jakarta,,February 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
lion-air,824089,2022-12-31,1,Singapore,Trip Verified,"""by far my worst experience""","Tried to book a ticket, but kept getting error msg saying that the flight request was unsuccessful, please try again. After trying 4 times it finally worked. However I was charged for 4 tickets. Got confirmation mails for 4 flights but the 3 failed attempts without flight number or anything. Also its saying that i paid by cash while it was booked off my debit card. Frustrated I tried to contact the airline which is not properly working through their whatsapp service as well as on their homepage. Wrote emails but never got an answer. Finally someone replied via chat with a standard phrase please click this link for refund. The link was a link to google translate. After researching i found the refund page. But in order for me to request a refund i need the flight number which was not given to me for the 3 failed attempts. Therefore I can not request a refund. This is by far my worst experience.",,Family Leisure,Economy Class,Ujung Pandang,Denpasar,,December 2022,3.0,2.0,,,1.0,,1.0,no
lion-air,807880,2022-10-07,1,Indonesia,Trip Verified,"""no customer service""","Horrible. Always huge delays, no customer service. Worth paying a little more for an alternative airline (not batik or super air jet as they are the same group and just as bad).",,Business,Economy Class,Denpasar,Kendari,,October 2022,1.0,1.0,,,1.0,,1.0,no
lion-air,806967,2022-10-03,4,Indonesia,Trip Verified,"""usual non-existing service""","Being re-booked on this flight I was not really thrilled by the option given as definitely Lion Air isn’t my favourite airline. One of the reasons is the poor seat-pitch one gets. Must admit I was pleased to get an emergency exit seat, with lots of place to stretch out. Moreover, I was excited to fly on a Boeing 737-900ER, which is not common (though Lion Air has many of them). With the usual non-existing service (nor offer to sell onboard) I noticed an elevated number of flight attendants. Though flight was quite turbulent, we landed safely.",Boeing 737-900ER,Solo Leisure,Economy Class,Lombok,Jakarta,,September 2022,3.0,1.0,,,2.0,,2.0,no
lion-air,799132,2022-08-19,1,United States,Not Verified,"""worst customer service experience""","This is the worst customer service experience I have ever had in my life. They should be banned from running their business. I had a flight scheduled for 630PM to CGK booked for Lion Air on august 17th. The night before the flight they sent me telling me the flight had been cancelled with no information on the new departure. I started to worry, I ended up going to sleep and at around 10am the sent me the schedule for the new flight. It was leaving at 7:15pm but from another airline Super Air Jet. So we arrived at the airport on-time and waited for boarding at 6:45pm - we didn’t board until 7:20pm and didn’t take off til 7:45pm. By the time we landed in CGK our connecting international flight had already boarded and was leaving. We were left stuck til 2:40pm the next day.",,Couple Leisure,Economy Class,Denpasar,Jakarta,,August 2022,,,,,1.0,,1.0,no
