Cleaned_Review,is_negative_sentiment
Have made numerous Cebu Pacific flights throughout Asia within the Philippines flights are generally good value for money but strict on baggage allowance. Found at BKK staff standing on edges of baggage scales adding between 2-5kg to actual weight of baggage so allowing them to claim excess baggage fees. My last flight from UK was weighed for internal UK flight at 23kg this was the same for my international flight from UK to Manila but for my internal flight from Manila to Cebu my baggage had suddenly gained 5.5kg in weight to 28.5kg - so excess baggage fees charged!,0
"Melbourne to Singapore. We booked the seats with extra leg space and even then the seats were very narrow and the arm rest could not be lifted so the hip space was very small. The service of the air steward and stewardesses was awful as well. My parents are Indians and thus when they speak English, they have a thick Indian accent and they tend to speak slowly. However, instead of listening to what they were saying patiently, a stewardess just rolled her eyes which was rude. My family and I are vegetarians so we had bought some food in the airport to eat in the plane. We have done this before during traveling. However, the steward told us outside food was not allowed and so we told them this time we had already brought the food and we wouldn't do it next time while traveling. However, a steward kept glaring at us each time he walked past. I have never seen service where the flight attendants are so rude.",1
Thought we would give them a try as fares were reasonable but it's nowhere near business class good legroom on seats but more like a bad premium economy. Crew weren't really interested in customers. 30-40 minutes for them to answer a call for a drink on TZ1 Sydney to Singapore on the way back they were quicker. In scoot biz you can bring your own device for entertainment and not be charged everyone who I saw couldn't get it to work. Crew were more interested in chatting in the galley than helping. Try another airline.,1
"We flow from Kuala Lumpur to Jakarta and Jakarta to Singapore with Lion Air. I didn't expect much in terms of customer care and service and choose this airline merely for its cheap offers. However, I was quite impressed of this airline for several reasons: 1) There was no cancellation or any delay of our two legs with Lion Air. 2) I found the crew very polite, they had a smile on their faces while welcoing passengers during boarding. 3) I was also very impressed witnessing the staff helping passengers actively with storing their big and heavy bags onto overhead bins, this is a touch that you wouldn't see with European crews. 4) Crew engaged in emergency instructions. They briefed passengers in the exit rows about their duties. There was a seat empty on the exit row so a cabin member was asking people if they would like to sit in the exit row. 5) Crew were not good with English skills, their airline magazine also has no english content at all. 6) Price was amazing compared to other carriers. Full service carrirers such as Malaysia and Garuda wanted 4 times as much money as Lion Air. 7) Seat was comfortable with old fashinoned leather which I do prefer over these new but thin and hard seats from many carriers. Leg space was limited but acceptable for a 2 hours flight.",0
"Flew Jetstar Airways to Bali a few months ago on the recommendation of a travel agent, and once again to Phuket last week. Never again ! Improvements must be implemented urgently. Cabin crew were noticeably inattentive, to the extent that rubbish piled up on tray tables. I asked for a blanket due to a sudden drop in cabin temperature but was told the airline did not carry any (despite) the seat in front of me being supplied with one. Worst of all - one of the cabin crew picked up a large bottle of water (in front of me), drank from that bottle and replaced it on the tray with other bottles - presumably for use with other guests. A health issue? Surely a very serious lapse of standard practices which management must address.",1
"Lombok to Guangzou via Kuala Lumpur. Not able to link my luggage through for my total flight, as it is a low cost airline. During the flight the intercom was only quiet for about 10 minutes. A constant voice making it impossible to sleep/relax. If you want food you needed to pay for it, although it wasn't possible with credit card. By far the worst experience I've had with an Asian airline.",1
"Sydney to Melbourne. Customer service was not friendly at all. I was traveling with a guitar which has fitted in the smallest of overhead compartments, but they would not let me carry it on. When I asked if it would make the trip checked in, she just had me sign a liability release form. She would not let me fly without signing this form. Then, she charged me for the guitar as ""oversized baggage"" which on any other Airline, and every other Airline on which I've traveled, it qualified as a carry on. She also stated I never claimed any baggage on my reservation. I told her I never had the option, but she argued with me stating the option was there, when in fact, I booked the travel and there was no option through that agency. The representative was rude and unwavering, and an absolutely poor representative of any Airline, of all Airlines I have flown. Based on this experience with her, I would not recommend Jetstar Airways to anyone.",1
"Flight on Christmas morning from Melbourne to Adelaide cancelled, just before checking in. Sydney flight same day also cancelled. Reason for both: sudden technical problems. Return flight, three days later from Adelaide, also cancelled an hour before departure. Reason: unexpected mechanical problems, again. Upon asking Adelaide staff about routine maintenance, we were told ""an aircraft is not serviced like a car, it can break down any time"".  Lost a day's wages as the offered return flight left the next day only.",1
How can you take the latest greatest most modern aircraft flying (787 Dreamliner) and make it so damn uncomfortable? I have just returned from a holiday to Bali and flew Jetstar. I was actually quite excited to be flying the 787 for the first time after all the hype about comfort air quality bigger windows and low noise levels. What an enormous disappointment. Jetstar have managed to take such an advanced and modern aircraft and jam it with cramped seats down in economy with terrible leg room. I am not even that big 175cm. It looks like they had a team from Tupperware design and install the entire interior of this plane. Plastic everywhere. The food (pre-purchased) was marginal at best and it'll cost you $10 to watch a movie. You go to all that trouble of installing screens in the back of the seat and it seemed hardly anyone bothered paying. The actual inflight experience (bigger windows air quality and smooth flight) was OK - and I am looking forward to flying the 787 again with an airline that actually designed a cabin with a hint of passenger comfort in mind. Thankfully it's only a 6 hour run up to Bali and slightly shorter coming home. Honestly Qantas Group - you should have kept the Dreamliner for the 'nicer' brand - and given you old bangers to 'little brother' Jetstar.,1
"My 77-year-old father was flying Indigo from Abu Dhabi to Kochi, 6E 1404. It was delayed by more than 1.5 hours last night and as scheduled, it was due to depart from Abu Dhabi Terminal 1. After arriving at the airport, we then found out that check-in was moved to T3 and boarding was back at T1. My father faced a lot of inconvenience in lost time and stress due to which he couldn't use the lounge prior to departure. Very frustrated withIndigo Airlines.",1
"The worst airline ever. I booked food but received none. I bought more but it was awful, they didn't even give water. The flight was delayed of course! The toilet stank. Never again.",1
We were made to stop for an additional bag check after doing through the standard immigration and international security. This was just before take off whilst waiting for boarding. They took away my water I had just purchased and food. I've never had this check done before and I would say it is almost certainly to make you buy something on the plane. This is forcing you to buy through them which surely is against certain rules / processes.,1
Delhi to Goa. Had read some negative reviews so was slightly apprehensive. I shouldnt have worried this was an excellent airline for a low cost carrier. Everything was exceptional from check in to boarding. The crew were so immaculately groomed and the cabin service was excellent. Nothing was too much trouble. They worked hard to ensure that the cabin was as tidy as possible to enable a quick turn round for the return flight. Maybe other low cost carriers should have a look at Indigo to see how its done!!,0
"Poor ground service, they asked me to check in my hand baggage for excess weight, which I understand is the rule. But when I was boarding the aircraft, I was amazed to find that loads of passengers had huge hand bags and in some cases multiple bags, which possibly were more than the weight limit. The ground staff told me that they check the weight again at the boarding gate to ensure that there is no overweight baggage, but I did not see any other bag being weighed other than mine!",1
"Singapore to Taipei. Two weeks before my flight, Scoot cancel the flight and simply sent an email to notify passenger reschedule to next day without and reimbursement to passenger. If passenger not accept reschedule, passenger had to call in Scoot helpline. The helpline totally disable, tried call 3-5 times with waiting more than 1 hour and finally reach the operator to answer. The operator was unfriendly and keep asking passenger to accept. I'm booking front seat with paid. but Scoot operator like act blur and because A320 was cancel changed to Boeing 787. And to continue get the front seat i still need to top up another $23 and get the same day flight and late for 3 hours flight. For the return flight, the flight is scheduled depart on 16.10, but take off time was 17.00 due to unknown reason at Taipei airport. Totally horrible services provided. For return, I paid for front window seat, but the seat is so near to the window and not comfortable. i will not take Scoot again, even thought they willing to bring down the price. They are a subsidiary of Singapore Airlines, but their service is totally different and the attitude is bad to passenger.",1
"MAA-HYD. The crews are friendly the airplanes clean they still run a largely on-time operation and prices remain very affordable. The bad news is the pains associated with flying ""ultra low cost carriers"" are now beginning to inflict the airline. Seat selection was free the last time I flew them a couple of years ago but now they charge Rs. 100 per passenger. They also charge Rs. 50 to get a copy of your e-ticket at the airport. Neither one of those really bother me though. What does bother me is the bogus Rs. 200 ""convenience fee"" that you now have to pay to book online a fee that isn't disclosed until you get to the very last screen before payment. Even worse if you have to make a change to your reservation the ""convenience fee"" is charged every time you make a change. IndiGo is unfortunately picking up the bad habits of the Spirits and Ryanairs of the world though at least the service is very good for now anyway.",0
Manila-Butuan/Manila-Cebu round trip: The price was really cheap but it fired me back with 3 hour delayed flight and overpriced meal (cup of water - 50 Pesos) seriously? From the airport the first checked in bag cost me 540Pesos (around $12) for only 15kilos which was really pricey for local travelers. The flight was not that smooth but the flight attendants were really polite. This flight is not recommended for travelers with international connecting flights on the same day. This is a really time consumable flight in exchange of lower price.,1
Our flight was diverted on the way to Phuket and we were dumped in Bangkok at midnight with no information let alone a hotel. Over 200 passengers were forced to fight for 8 available hotel rooms that they had to pay for themselves. After over a 12 hour wait the flight then boarded again but was then further delayed as they had messed up the luggage getting to the plane. It ended up with bags on the tarmac and passengers pointing out the windows to their bags. The staff were downright rude and refused to even provide a drink.,1
"Kota Bharu to Kota Kinabalu return. Ontime departure & arrival (10-20 minutes earlier arrival for both journey). Reasonable crew, tasty food. Wished that AirAsia will increase the frequency direct flight to 4x week at least. Will fly with them again.",0
Singapore to Jakarta. Nothing good to say. Aircraft is outdated and dirty. Seat pitch is extremely tight. Cabin crew is not friendly. Delayed by 1.5 hours.  Overall it is extremely bad and have bad time management. Would not recommend Lion Air.,1
Bengaluru to Mumbai by IndiGo Airlines. The check-in was quite comfortable. We were welcomed warmly by the cabin crew while boarding the aircraft. The aircraft seemed clean as compared to other airlines in India. The lavatories were also well maintained without any faul smell. The seats had a very soft cushioning hence it made quite a comfortable journey for us and were also wide. Though we had to buy food but it did not create any issues. Their food tasted fantastic. The flight departed and arrived on time. The landing and takeoff were very smooth. I recommend this airline and always a pleasure.,0
Arrive with my hand luggage. They ask me to put my handbag on the scales as well then charge me $65 because I am over the weight. This is the kind of unfair service that puts people off these budget airlines,1
"I decided to switch from Jetstar to Scoot, thought it would be better as it's with SQ. Nope. They changed my flight, didn't give another option. Been trying to contact them, no easy way...or any way. Stay away.",1
Legazpi (DRP) to Sydney via Manila. Before purchasing ticket I know my expectations about Cebu Pacific being a LCC. DRP to MNL flight was on-time while MNL to SYD was slightly delayed which is normal for flights out of MNL. Pre-ordered meal was ok as well as the on-board service. Now what I like the most was the price I paid which was a steal. I will keep using Cebu Pacific both local and international as a cheaper alternative.,0
Jetstar are in the habit of cancelling flights with little notification time (45mins before flight time via an email) and then abandoning passengers after transferring them to closed airports. Ground staff less than helpful and claimed that this type of service is to be expected from budget carriers. They appear to be over-anticipating passenger demand on some routes and when supply outstrips demand simply cancelling flights and disrupting passengers by either flying them the next day or transferring them to flights to other airports on sister airlines and bussing passengers to their original destination. Totally unacceptable when travelling with children and being left outside a locked airport terminal after an hour long bus transfer at 1.00am.,1
